,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Monrovia,80,LR,1595793344,78,6.3,-10.8,76.66,12.5
1,Bluff,0,NZ,1595792824,85,-46.6,168.33,42.24,11.5
2,Oddur,18,SO,1595793344,73,4.12,43.89,73.96,12.06
3,Ushuaia,40,AR,1595793009,90,-54.8,-68.3,33.8,20.8
4,Bathsheba,59,BB,1595793094,77,13.22,-59.52,83.12,17.09
5,Hermanus,14,ZA,1595793019,77,-34.42,19.23,52.0,1.99
6,Vaini,40,TO,1595793012,94,-21.2,-175.2,68.0,5.82
7,Ponta do Sol,20,PT,1595792705,64,32.67,-17.1,73.4,13.87
8,Paamiut,5,GL,1595793265,89,61.99,-49.67,46.15,1.14
9,Provideniya,75,RU,1595793043,76,64.38,-173.3,48.2,6.71
10,Mount Isa,0,AU,1595793346,53,-20.73,139.5,50.0,10.85
11,Cherskiy,14,RU,1595793038,36,68.75,161.3,75.97,15.7
12,Port Elizabeth,73,ZA,1595793011,71,-33.92,25.57,57.2,8.05
13,Ilulissat,100,GL,1595793055,93,69.22,-51.1,44.6,8.05
14,Ormara,100,PK,1595793151,84,25.21,64.64,84.45,16.04
15,New Norfolk,100,AU,1595793014,82,-42.78,147.06,43.0,2.71
16,Rome,40,US,1595792525,51,43.21,-75.46,84.99,9.17
17,San Patricio,40,MX,1595793165,75,19.22,-104.7,89.6,9.17
18,Kumul,0,CN,1595793127,19,42.8,93.45,83.5,18.45
19,Venezuela,100,VE,1595793347,67,8.0,-66.0,84.58,7.94
20,Nchelenge,20,ZM,1595793348,54,-9.35,28.73,66.15,7.23
21,Punta Arenas,20,CL,1595793007,64,-53.15,-70.92,39.2,19.46
22,Albany,0,US,1595793016,29,42.6,-73.97,91.99,9.91
23,Aksay,82,RU,1595793348,26,47.26,39.87,80.6,17.9
24,Saint Paul Harbor,75,US,1595793028,63,57.79,-152.41,60.8,10.29
25,Thompson,90,CA,1595792729,93,55.74,-97.86,59.0,9.17
26,Airai,67,TL,1595793011,85,-8.93,125.41,53.46,3.87
27,Carnarvon,0,AU,1595793041,100,-24.87,113.63,53.6,5.82
28,Forsytheganj,92,BY,1595793262,92,52.63,29.73,64.06,6.02
29,Ishinomaki,100,JP,1595793350,96,38.42,141.3,68.14,5.23
30,Hilo,1,US,1595793003,69,19.73,-155.09,82.4,5.82
31,Pavino,7,RU,1595793350,94,59.11,46.14,56.46,3.22
32,Cape Town,20,ZA,1595793014,71,-33.93,18.42,55.99,21.92
33,Port Macquarie,94,AU,1595793153,99,-31.43,152.92,51.01,8.93
34,Bredasdorp,16,ZA,1595793024,71,-34.53,20.04,50.0,3.36
35,Chokurdakh,100,RU,1595792856,82,70.63,147.92,44.64,11.9
36,Tuktoyaktuk,40,CA,1595793029,67,69.45,-133.04,62.6,9.17
37,Bubaque,100,GW,1595793351,84,11.28,-15.83,79.74,12.73
